Order Date,Ship Mode,Segment,Country,Market,Category,Sub Category,Product Name,Quantity,Sales,Discount,Profit,Shipping Cost,Year
2011-01-07,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 225,3,19,0.0,9.3312,4.37,2011
2011-01-21,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",2,19,0.0,9.2928,0.94,2011
2011-08-05,Standard Class,Consumer,United States,US,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3,21,0.0,9.8418,1.81,2011
2011-08-05,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1913,2,111,0.0,53.2608,4.59,2011
2011-09-29,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 223,1,6,0.0,3.1104,1.32,2011
2011-10-19,Same Day,Consumer,United States,US,Office Supplies,Paper,Spiral Phone Message Books with Labels by Adams,3,13,0.0,6.5856,2.39,2011
2011-11-04,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 2000,3,19,0.0,9.3312,1.15,2011
2011-11-12,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1974,2,12,0.0,5.8604,0.92,2011
2011-11-22,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1895,9,54,0.0,24.219,6.98,2011
2011-12-05,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1933,4,49,0.0,23.0864,1.99,2011
2011-12-13,Second Class,Consumer,United States,US,Office Supplies,Paper,White GlueTop Scratch Pads,6,90,0.0,41.5104,8.53,2011
2012-02-15,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1959,2,13,0.0,6.4128,1.0,2012
2012-02-15,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 22,3,19,0.0,9.3312,0.06,2012
2012-02-16,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1881,3,37,0.0,17.3148,4.04,2012
2012-03-28,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1977,5,33,0.0,16.032,2.25,2012
2012-04-11,Second Class,Consumer,United States,US,Office Supplies,Paper,Staples,2,53,0.0,24.2696,1.59,2012
2012-06-19,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 231,1,6,0.0,3.1104,0.52,2012
2012-08-31,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 226,9,58,0.0,27.9936,7.98,2012
2012-11-22,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1887,2,38,0.0,18.2112,3.9,2012
2012-11-22,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1971,10,43,0.0,19.26,6.15,2012
2012-11-24,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1919,9,369,0.0,180.7659,6.98,2012
2012-11-24,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 225,3,19,0.0,9.3312,1.68,2012
2012-11-24,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1943,3,147,0.0,68.9631,4.93,2012
2012-12-20,Second Class,Consumer,United States,US,Office Supplies,Paper,Staples,4,17,0.0,7.704,1.31,2012
2012-12-30,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1929,3,69,0.0,31.5192,6.36,2012
2013-03-13,Standard Class,Consumer,United States,US,Office Supplies,Paper,Hammermill Color Copier Paper (28Lb. and 96 Bright),2,20,0.0,8.991,1.3,2013
2013-03-29,Second Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1983,1,6,0.0,2.9302,1.82,2013
2013-04-09,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1923,3,20,0.0,9.6192,2.92,2013
2013-04-09,Standard Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1931,2,13,0.0,6.2208,2.28,2013
2013-04-13,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 206,3,19,0.0,9.3312,1.77,2013
2013-04-20,Second Class,Consumer,United States,US,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",4,23,0.0,10.224,3.87,2013
2013-05-09,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1920,3,18,0.0,8.073,3.42,2013
2013-05-12,First Class,Consumer,United States,US,Office Supplies,Paper,Xerox 1920,1,6,0.0,2.691,0.41,2013
